titre,type_media,classification_age,est_violent
Monster Jam Steel Titans 2,Jeu Video,E,FALSE
Subnautica: Below Zero,Jeu Video,ET,TRUE
NIER REPLICANT VER.1.22474487139…,Jeu Video,M,TRUE
Jamestown+,Jeu Video,ET,TRUE
Neptunia Virtual Stars,Jeu Video,T,TRUE
Monster Energy Supercross - The Official Videogame 4,Jeu Video,E,FALSE
Monochrome Order,Jeu Video,T,TRUE
Blightbound,Jeu Video,T,TRUE
Maquette,Jeu Video,ET,FALSE
FATAL FURY™ BATTLE ARCHIVES VOL.2,Jeu Video,T,FALSE
NBA LIVE 20,Jeu Video,E,FALSE
Golden Force,Jeu Video,M,TRUE
Dungreed,Jeu Video,ET,TRUE
The End is Nigh,Jeu Video,M,FALSE
Fallout 76: Steel Dawn,Jeu Video,M,TRUE
Red Dead Online,Jeu Video,M,TRUE
Override 2: Super Mech League – Ultraman Deluxe Edition,Jeu Video,T,TRUE
Turrican Flashback,Jeu Video,ET,TRUE
Sniper Ghost Warrior Contracts 2,Jeu Video,M,TRUE
Surviving the Aftermath,Jeu Video,T,TRUE
Asdivine Menace,Jeu Video,T,TRUE
West of Dead,Jeu Video,T,TRUE
FIVE NIGHTS AT FREDDY'S: HELP WANTED,Jeu Video,T,TRUE
Ruined King: A League of Legends Story,Jeu Video,T,TRUE
Tanuki Justice,Jeu Video,ET,TRUE
Bibi & Tina at the Horse Farm,Jeu Video,E,FALSE
Bugsnax,Jeu Video,ET,TRUE
Bus Simulator 21,Jeu Video,E,FALSE
Five Nights at Freddy's: Core Collection,Jeu Video,T,TRUE
Afterparty,Jeu Video,M,TRUE
EA SPORTS™ FIFA 21 ÉDITION NXT LVL,Jeu Video,E,FALSE
EA SPORTS™ FIFA 21 NXT LEVEL EDITION,Jeu Video,E,FALSE
EA SPORTS™ MADDEN NFL 21 ÉDITION NXT LVL,Jeu Video,E,FALSE
EA SPORTS™ MADDEN NFL 21 NXT LEVEL EDITION,Jeu Video,E,FALSE
My Universe - Pet Clinic Cats and Dogs,Jeu Video,E,FALSE
Empire of Sin,Jeu Video,M,TRUE
Worms Rumble,Jeu Video,ET,TRUE
EarthNight,Jeu Video,ET,TRUE
METAL SLUG ANTHOLOGY™,Jeu Video,T,TRUE
NHL 94 Rewind,Jeu Video,E,FALSE
Story of a Gladiator,Jeu Video,M,TRUE
The TakeOver,Jeu Video,T,TRUE
Space Invaders Forever,Jeu Video,E,TRUE
BALAN WONDERWORLD,Jeu Video,ET,TRUE
HITMAN 3,Jeu Video,M,TRUE
Bubble Bobble 4 Friends: The Baron is Back!,Jeu Video,E,TRUE
Fortnite,Jeu Video,T,TRUE
Fortnite - The Last Laugh Bundle,Jeu Video,T,TRUE
