id_individu,id_media,heures_hebdomadaires,frequence
5,756,47.6,Quotidien
7,13156,18.9,Hebdomadaire
19,13156,58.8,Quotidien
21,276,45.5,Quotidien
27,756,41.3,Quotidien
31,276,7.0,Occasionnel
48,13156,42.7,Quotidien
53,13156,79.8,Quotidien
61,13156,39.2,Quotidien
62,276,62.3,Quotidien
76,756,36.4,Quotidien
88,13156,42.7,Quotidien
98,276,72.8,Quotidien
109,47,32.2,Quotidien
110,276,84.0,Quotidien
111,47,37.8,Quotidien
117,756,91.0,Quotidien
121,47,82.6,Quotidien
131,276,48.3,Quotidien
137,276,56.0,Quotidien
149,276,27.3,Hebdomadaire
155,13156,46.9,Quotidien
156,47,48.3,Quotidien
157,13156,15.4,Hebdomadaire
159,276,32.9,Quotidien
170,13156,18.2,Hebdomadaire
172,276,43.4,Quotidien
189,13156,30.8,Quotidien
195,756,25.9,Hebdomadaire
230,47,60.9,Quotidien
232,276,60.9,Quotidien
240,13156,76.3,Quotidien
255,276,38.5,Quotidien
267,276,68.6,Quotidien
275,276,65.8,Quotidien
278,276,13.3,Hebdomadaire
284,13156,44.1,Quotidien
291,13156,46.9,Quotidien
299,756,53.2,Quotidien
300,276,60.2,Quotidien
301,276,26.6,Hebdomadaire
308,276,57.4,Quotidien
319,47,65.8,Quotidien
329,13156,38.5,Quotidien
341,756,28.0,Quotidien
343,47,74.9,Quotidien
344,13156,37.1,Quotidien
351,47,60.9,Quotidien
355,756,43.4,Quotidien
358,276,11.9,Hebdomadaire
360,276,45.5,Quotidien
374,47,47.6,Quotidien
387,756,47.6,Quotidien
405,47,70.0,Quotidien
411,276,42.0,Quotidien
412,756,72.1,Quotidien
413,13156,33.6,Quotidien
427,13156,29.4,Quotidien
439,47,27.3,Hebdomadaire
443,13156,79.8,Quotidien
445,47,36.4,Quotidien
459,47,59.5,Quotidien
473,276,7.0,Occasionnel
483,276,12.6,Hebdomadaire
484,13156,56.7,Quotidien
485,47,78.4,Quotidien
490,47,6.3,Occasionnel
491,47,39.9,Quotidien
492,47,98.7,Quotidien
498,47,66.5,Quotidien
500,47,49.7,Quotidien
501,756,67.2,Quotidien
505,276,5.6,Occasionnel
517,756,85.4,Quotidien
541,756,74.9,Quotidien
548,13156,49.7,Quotidien
550,47,50.4,Quotidien
555,276,32.2,Quotidien
581,47,44.8,Quotidien
582,13156,58.1,Quotidien
583,276,66.5,Quotidien
589,47,58.8,Quotidien
599,276,52.5,Quotidien
600,47,40.6,Quotidien
607,276,92.4,Quotidien
610,756,33.6,Quotidien
611,13156,44.8,Quotidien
623,13156,11.2,Hebdomadaire
630,756,84.0,Quotidien
653,276,11.9,Hebdomadaire
659,756,46.2,Quotidien
665,47,25.9,Hebdomadaire
667,756,46.9,Quotidien
678,276,56.0,Quotidien
685,13156,67.9,Quotidien
690,276,76.3,Quotidien
697,756,16.1,Hebdomadaire
701,276,49.7,Quotidien
704,276,11.9,Hebdomadaire
712,276,44.8,Quotidien
717,276,21.0,Hebdomadaire
726,47,14.7,Hebdomadaire
731,47,22.4,Hebdomadaire
733,47,30.1,Quotidien
736,47,79.8,Quotidien
754,13156,5.6,Occasionnel
766,756,58.1,Quotidien
769,47,19.6,Hebdomadaire
778,47,60.2,Quotidien
780,47,23.8,Hebdomadaire
783,276,32.2,Quotidien
785,47,21.0,Hebdomadaire
794,47,42.0,Quotidien
797,756,49.7,Quotidien
799,276,46.9,Quotidien
802,276,37.1,Quotidien
807,276,51.8,Quotidien
811,276,60.9,Quotidien
812,276,11.9,Hebdomadaire
823,13156,65.1,Quotidien
825,47,43.4,Quotidien
836,47,56.7,Quotidien
840,13156,61.6,Quotidien
842,13156,63.0,Quotidien
854,276,36.4,Quotidien
859,47,44.1,Quotidien
867,756,57.4,Quotidien
874,47,66.5,Quotidien
879,47,35.0,Quotidien
891,756,42.7,Quotidien
895,13156,66.5,Quotidien
896,13156,102.9,Quotidien
906,13156,13.3,Hebdomadaire
912,276,81.2,Quotidien
913,13156,36.4,Quotidien
920,13156,44.1,Quotidien
934,276,70.7,Quotidien
939,756,60.2,Quotidien
944,47,79.1,Quotidien
953,13156,19.6,Hebdomadaire
954,276,38.5,Quotidien
956,47,42.0,Quotidien
959,47,34.3,Quotidien
968,756,7.0,Occasionnel
973,756,51.8,Quotidien
975,13156,54.6,Quotidien
985,756,30.8,Quotidien
992,276,25.2,Hebdomadaire
995,756,65.1,Quotidien
1000,276,24.5,Hebdomadaire
