id_individu,pseudo,age,sexe,score_sante_mentale,score_qualite_sommeil,score_sante_physique
1,Joueur1,17,Homme,2,2,9
2,Joueur2,21,Homme,2,6,10
3,Joueur3,23,Homme,2,6,10
4,Joueur4,20,Femme,1,6,8
5,Joueur5,18,Homme,1,4,10
6,Joueur6,21,Homme,8,6,10
7,Joueur7,21,Homme,6,2,10
8,Joueur8,28,Femme,2,6,8
9,Joueur9,18,Homme,7,4,10
10,Joueur10,18,Homme,2,1,9
11,Joueur11,16,Homme,5,8,10
12,Joueur12,14,Homme,8,8,10
13,Joueur13,28,Homme,0,2,8
14,Joueur14,22,Homme,3,6,10
15,Joueur15,21,Homme,4,8,10
16,Joueur16,25,Homme,2,4,8
17,Joueur17,19,Homme,7,6,10
18,Joueur18,22,Femme,1,4,8
19,Joueur19,20,Homme,0,2,10
20,Joueur20,20,Homme,2,4,9
21,Joueur21,22,Homme,6,4,10
22,Joueur22,16,Femme,4,6,10
23,Joueur23,14,Femme,3,8,10
24,Joueur24,19,Femme,2,2,8
25,Joueur25,22,Homme,0,6,10
26,Joueur26,22,Homme,7,8,10
27,Joueur27,18,Homme,3,6,9
28,Joueur28,18,Homme,2,6,8
29,Joueur29,21,Homme,0,8,10
30,Joueur30,19,Femme,2,6,10
31,Joueur31,20,Homme,8,8,10
32,Joueur32,17,Homme,4,4,10
33,Joueur33,20,Homme,3,6,10
34,Joueur34,20,Homme,0,2,10
35,Joueur35,18,Homme,2,1,10
36,Joueur36,22,Femme,1,4,10
37,Joueur37,20,Homme,8,6,10
38,Joueur38,20,Homme,3,2,8
39,Joueur39,16,Femme,3,8,10
40,Joueur40,20,Homme,4,6,10
41,Joueur41,33,Homme,8,6,10
42,Joueur42,16,Homme,1,4,8
43,Joueur43,20,Homme,8,8,10
44,Joueur44,20,Homme,0,4,10
45,Joueur45,14,Femme,6,4,10
46,Joueur46,26,Femme,0,6,8
47,Joueur47,20,Homme,8,4,10
48,Joueur48,29,Femme,4,4,9
49,Joueur49,16,Femme,0,6,10
50,Joueur50,15,Femme,1,4,10
51,Joueur51,24,Homme,1,2,10
52,Joueur52,20,Homme,7,8,10
53,Joueur53,20,Homme,2,2,8
54,Joueur54,20,Femme,1,8,10
55,Joueur55,22,Femme,6,8,10
56,Joueur56,19,Homme,8,8,10
57,Joueur57,24,Homme,6,8,10
58,Joueur58,25,Homme,3,4,10
59,Joueur59,23,Homme,9,8,10
60,Joueur60,33,Femme,2,6,9
61,Joueur61,22,Femme,7,8,10
62,Joueur62,13,Homme,4,2,8
63,Joueur63,16,Non-binaire,1,1,8
64,Joueur64,19,Femme,2,2,9
65,Joueur65,26,Femme,2,6,10
66,Joueur66,18,Homme,8,4,10
67,Joueur67,23,Femme,1,8,10
68,Joueur68,22,Homme,2,2,8
69,Joueur69,20,Femme,2,2,8
70,Joueur70,18,Femme,2,6,8
71,Joueur71,25,Homme,6,6,10
72,Joueur72,23,Homme,9,6,10
