id_media,titre,type_media,classification_age,est_violent
1,Monster Jam Steel Titans 2,Jeu Video,E,0
2,Subnautica: Below Zero,Jeu Video,ET,1
3,NIER REPLICANT VER.1.22474487139…,Jeu Video,M,1
4,Jamestown+,Jeu Video,ET,1
5,Neptunia Virtual Stars,Jeu Video,T,1
6,Monster Energy Supercross - The Official Videogame 4,Jeu Video,E,0
7,Monochrome Order,Jeu Video,T,1
8,Blightbound,Jeu Video,T,1
9,Maquette,Jeu Video,ET,0
10,FATAL FURY™ BATTLE ARCHIVES VOL.2,Jeu Video,T,0
11,NBA LIVE 20,Jeu Video,E,0
12,Golden Force,Jeu Video,M,1
13,Dungreed,Jeu Video,ET,1
14,The End is Nigh,Jeu Video,M,0
15,Fallout 76: Steel Dawn,Jeu Video,M,1
16,Red Dead Online,Jeu Video,M,1
17,Override 2: Super Mech League – Ultraman Deluxe Edition,Jeu Video,T,1
18,Turrican Flashback,Jeu Video,ET,1
19,Sniper Ghost Warrior Contracts 2,Jeu Video,M,1
20,Surviving the Aftermath,Jeu Video,T,1
21,Asdivine Menace,Jeu Video,T,1
22,West of Dead,Jeu Video,T,1
23,FIVE NIGHTS AT FREDDY'S: HELP WANTED,Jeu Video,T,1
24,Ruined King: A League of Legends Story,Jeu Video,T,1
25,Tanuki Justice,Jeu Video,ET,1
26,Bibi & Tina at the Horse Farm,Jeu Video,E,0
27,Bugsnax,Jeu Video,ET,1
28,Bus Simulator 21,Jeu Video,E,0
29,Five Nights at Freddy's: Core Collection,Jeu Video,T,1
30,Afterparty,Jeu Video,M,1
31,EA SPORTS™ FIFA 21 ÉDITION NXT LVL,Jeu Video,E,0
32,EA SPORTS™ FIFA 21 NXT LEVEL EDITION,Jeu Video,E,0
33,EA SPORTS™ MADDEN NFL 21 ÉDITION NXT LVL,Jeu Video,E,0
34,EA SPORTS™ MADDEN NFL 21 NXT LEVEL EDITION,Jeu Video,E,0
35,My Universe - Pet Clinic Cats and Dogs,Jeu Video,E,0
36,Empire of Sin,Jeu Video,M,1
37,Worms Rumble,Jeu Video,ET,1
38,EarthNight,Jeu Video,ET,1
39,METAL SLUG ANTHOLOGY™,Jeu Video,T,1
40,NHL 94 Rewind,Jeu Video,E,0
41,Story of a Gladiator,Jeu Video,M,1
42,The TakeOver,Jeu Video,T,1
43,Space Invaders Forever,Jeu Video,E,1
44,BALAN WONDERWORLD,Jeu Video,ET,1
45,HITMAN 3,Jeu Video,M,1
46,Bubble Bobble 4 Friends: The Baron is Back!,Jeu Video,E,1
47,Fortnite,Jeu Video,T,1
48,Fortnite - The Last Laugh Bundle,Jeu Video,T,1
49,Who Wants to Be a Millionaire?,Jeu Video,E,0
50,Werewolf: The Apocalypse - Earthblood,Jeu Video,M,1
51,Asdivine Dios,Jeu Video,ET,1
52,Les Sims™ 4 Escapade enneigée,Jeu Video,T,0
53,Need for Speed Hot Pursuit Remastered,Jeu Video,ET,0
54,The Sims™ 4 Snowy Escape,Jeu Video,T,0
55,Professor  Rubik's Brain Fitness,Jeu Video,E,0
56,Slide Stars,Jeu Video,T,1
57,My Universe - Cooking Star Restaurant,Jeu Video,E,0
58,XIII,Jeu Video,M,1
59,Wallachia: Reign of Dracula,Jeu Video,T,1
60,TERA,Jeu Video,M,1
61,PAW Patrol Mighty Pups Save Adventure Bay,Jeu Video,E,0
62,Watch Dogs Complete Edition,Jeu Video,M,1
63,Planet Coaster Console Edition,Jeu Video,E,0
64,THE KING OF FIGHTERS™ COLLECTION: THE OROCHI SAGA,Jeu Video,T,1
65,Harvest Moon: One World,Jeu Video,E,0
66,Art of Fighting Anthology,Jeu Video,T,1
67,Demon's Tier+,Jeu Video,ET,1
68,SIMULACRA,Jeu Video,M,0
69,Space Channel 5 VR Kinda Funky News Flash!,Jeu Video,ET,1
70,The Complex,Jeu Video,M,1
71,Prince of Persia: The Sands of Time Remake,Jeu Video,T,1
72,Shadows of Adam,Jeu Video,T,1
73,Hellpoint,Jeu Video,M,1
74,Mad Rat Dead,Jeu Video,T,1
75,Where the Water Tastes Like Wine,Jeu Video,M,0
76,Marvel's Spider-Man: Miles Morales,Jeu Video,T,1
77,MY UNIVERSE - FASHION BOUTIQUE,Jeu Video,E,0
